SuspectID,CaseID,Name,Age,Gender,Arrested,Convicted
S1115,C1243,Kyle Welch,34,Female,No,No
S1116,C2847,Monica Guerrero,69,Male,No,No
S1117,C2843,Haley Davila,47,Female,No,Yes
S1118,C2218,Stephanie Warren,52,Female,Yes,No
S1119,C1802,Frank Sanders,30,Male,No,Yes
S1120,C2803,Andrew Cochran,60,Male,Yes,Yes
S1121,C2468,Louis Brown,44,Female,Yes,Yes
S1122,C1674,Brett Evans,45,Male,Yes,No
S1123,C1886,Debra Perez,37,Female,No,No
S1124,C1784,Erica Brown,55,Male,Yes,Yes
S1125,C1140,John Castro,29,Male,No,No
S1126,C2085,Jermaine Knight,47,Female,Yes,No
S1127,C1124,Vanessa Kelly,40,Female,No,No
S1128,C2167,Thomas Oneill,34,Male,Yes,No
S1129,C1350,Gina Rodriguez,58,Female,No,Yes
S1130,C2340,James White,54,Male,No,No
S1131,C1621,Sheila Wise,66,Female,Yes,No
S1132,C1419,Lisa Perry,51,Female,Yes,Yes
S1133,C2543,Crystal Smith,56,Female,Yes,No
S1134,C2519,Daryl Casey,66,Female,No,No
S1135,C2481,Anthony Hatfield,56,Female,Yes,No
S1136,C2929,Lauren Perez,18,Male,Yes,No
S1137,C1225,Paula Thompson,44,Female,Yes,No
S1138,C1684,Keith Heath,63,Female,No,Yes
S1139,C1640,Lucas Butler,39,Male,No,No
S1140,C2642,Alec Graves,64,Female,No,Yes
S1141,C1845,Kristy Young,55,Female,Yes,Yes
S1142,C1470,Tara Wells,35,Female,Yes,No
S1143,C2906,Anna Roberts,26,Female,Yes,Yes
S1144,C1489,Jennifer Jones,41,Female,Yes,No
S1145,C2305,Pamela Mason,21,Female,Yes,No
S1146,C1443,Allison Wright,32,Female,Yes,Yes
S1147,C1537,Michael Simmons,49,Female,No,No
S1148,C2627,Carrie Alexander,65,Female,Yes,Yes
S1149,C2586,Scott Pierce PhD,25,Male,No,No
S1150,C1175,Karen Welch,52,Female,Yes,No
S1151,C1849,Ashley Knapp,33,Female,No,No
S1152,C2804,Melissa Hopkins,66,Female,Yes,No
S1153,C1444,Mark Houston,24,Female,No,No
S1154,C1693,Kenneth Webb,47,Male,Yes,Yes
S1155,C1338,Molly Manning,47,Male,No,No
S1156,C1073,William Hall,26,Male,No,No
S1157,C1585,Tonya Daniel,60,Female,No,Yes
S1158,C2345,Rachel Miller,18,Female,Yes,Yes
S1159,C1901,Cheryl Campbell,46,Male,No,No
S1160,C2571,Raymond Johnson,23,Male,No,No
S1161,C1461,Jennifer Williams,35,Male,No,No
S1162,C1176,Michael Jones,59,Female,No,No
S1163,C2016,Kenneth Williams,48,Female,No,No
S1164,C1170,Cassandra Hill,25,Male,Yes,Yes
S1165,C2408,Karen Clark,45,Female,Yes,No
S1166,C2716,Scott Maxwell,59,Male,Yes,Yes
S1167,C2568,Brittany Curtis,68,Female,No,Yes
S1168,C2906,Angela Schaefer,62,Female,Yes,Yes
S1169,C1984,Gregory Simpson,43,Male,Yes,No
S1170,C1326,Tyler Anderson,47,Male,Yes,No
S1171,C2590,Cynthia Martinez,20,Male,No,No
S1172,C2660,John Ramirez,35,Male,Yes,No
S1173,C1967,Rachel Butler,63,Male,No,No
S1174,C2166,Ann Spencer,25,Female,No,No
S1175,C1591,Cole Phillips,36,Male,No,Yes
S1176,C1592,Wendy Butler,48,Male,Yes,Yes
S1177,C1224,Jessica Lin,19,Female,No,Yes
S1178,C1611,Chad Rodgers,20,Male,Yes,No
S1179,C1959,John Larson,70,Female,Yes,No
S1180,C1520,Betty Moody,67,Female,No,No
S1181,C1863,Dr. Diana Young,55,Female,No,No
S1182,C1487,Dan Nunez,63,Male,No,No
S1183,C1274,Lawrence Bartlett,24,Male,Yes,No
S1184,C2930,Wendy Smith,67,Female,No,Yes
S1185,C1648,Tyrone Garcia,25,Male,Yes,Yes
S1186,C2181,Breanna Nelson,62,Female,Yes,No
S1187,C2234,Tim White,59,Female,No,Yes
S1188,C1349,Gary Wood,34,Male,Yes,No
S1189,C2947,Lisa Ramirez,29,Male,Yes,Yes
S1190,C1400,Donna Carter,24,Male,No,Yes
S1191,C1627,Maureen Cummings,30,Female,No,Yes
S1192,C2772,Leah Flowers,67,Male,Yes,No
S1193,C1787,Ronald Medina,30,Male,No,No
S1194,C2930,Raymond Foster,27,Female,Yes,Yes
S1195,C2176,Taylor Orozco,70,Male,No,Yes
S1196,C2254,Elizabeth Martinez,44,Female,No,No
S1197,C1594,Dana Lee,31,Female,No,No
S1198,C2025,Jennifer Lawrence,63,Male,No,Yes
S1199,C1021,Jennifer Bonilla,61,Female,Yes,No
S1200,C1689,Sabrina Reed,67,Female,No,No
S1201,C2560,Charles Snyder,54,Male,Yes,Yes
S1202,C2436,Timothy Lee,36,Male,No,Yes
S1203,C2364,Carrie Marsh,23,Male,Yes,Yes
S1204,C1621,Rachel Bishop,45,Female,Yes,Yes
S1205,C1038,Michael Kelley,65,Male,Yes,Yes
S1206,C1870,Tracey Rogers,26,Female,Yes,Yes
S1207,C2612,Ann Logan,32,Female,Yes,Yes
S1208,C2758,Brittany Potts,50,Female,Yes,No
S1209,C2235,Paul Foster,41,Male,Yes,Yes
S1210,C1625,Amber Howard,49,Male,No,Yes
S1211,C1884,Jeffrey Crawford,70,Female,Yes,No
S1212,C1080,Krista Bradshaw,53,Male,Yes,No
S1213,C1063,Jack Palmer,67,Male,Yes,Yes
S1214,C1451,David Durham,62,Male,No,No
S1215,C1423,Charles Warren,22,Female,Yes,Yes
S1216,C2460,Christina Medina,32,Female,No,No
S1217,C1722,Jordan Fox,28,Female,No,No
S1218,C1766,Jeffrey Beltran,33,Male,Yes,No
S1219,C2345,Jacob Howell,58,Male,No,No
S1220,C2539,Crystal Torres,70,Male,Yes,Yes
S1221,C1651,Crystal Morgan,60,Female,Yes,No
S1222,C1384,Tina Savage,70,Female,Yes,Yes
S1223,C2445,Christopher Morales,28,Male,No,No
S1224,C2910,Bernard Novak,45,Male,Yes,Yes
S1225,C2686,Danielle Jackson,61,Female,Yes,Yes
S1226,C2225,Nicholas Mitchell,20,Female,Yes,Yes
S1227,C2705,Ashley Tucker,30,Female,Yes,No
S1228,C1007,Tiffany Ward,67,Female,Yes,No
S1229,C1948,Cameron Parker,21,Female,No,Yes
S1230,C1993,Zachary Martin,26,Male,No,No
S1231,C1670,Dylan Mccoy,60,Male,Yes,Yes
S1232,C2204,Catherine Thomas,60,Male,Yes,No
S1233,C2582,Ashley Hall,35,Male,Yes,No
S1234,C1480,Edward Ferrell,39,Female,No,Yes
S1235,C1472,Robert Berger,43,Male,No,No
S1236,C2709,Kimberly Jones,19,Female,Yes,Yes
S1237,C1403,Tony Anderson,32,Female,Yes,Yes
S1238,C1992,Dr. Richard Green,66,Female,No,Yes
S1239,C1058,Mrs. Kristen Park,21,Male,Yes,No
S1240,C2223,Joseph Johnson,24,Male,Yes,No
S1241,C1657,Nicole Parker,35,Male,No,No
S1242,C2321,Casey Lopez,24,Female,No,Yes
S1243,C1553,James Schwartz,21,Male,No,No
S1244,C1011,Melissa Diaz DDS,48,Female,Yes,Yes
S1245,C2572,James Johnson,65,Male,Yes,No
S1246,C2407,Monica Clay,46,Female,Yes,Yes
S1247,C1553,Joseph Anderson,70,Male,Yes,Yes
S1248,C1285,Beth Harris,23,Female,No,No
S1249,C1706,Amy Rogers,59,Male,Yes,Yes
S1250,C1718,Andrew Nelson,62,Male,Yes,Yes
S1251,C1527,Jeanette Cole,29,Male,No,No
S1252,C1734,Natasha Cruz,55,Male,No,No
S1253,C1661,Lindsey Smith,43,Female,No,No
S1254,C2717,Samantha Jones,38,Male,No,No
S1255,C2736,Sarah Miller,64,Male,Yes,Yes
S1256,C1570,Michael Lowe,40,Male,No,No
S1257,C2867,Dustin Phillips,42,Male,Yes,Yes
S1258,C2882,Jasmine Cruz,67,Female,Yes,No
S1259,C2809,Victoria Bond,37,Female,Yes,No
S1260,C1223,Miguel Gray,54,Female,No,No
S1261,C2441,Zachary Alexander,56,Male,Yes,No
S1262,C1037,Colton Welch,50,Male,No,Yes
S1263,C2274,Scott Sutton,34,Female,Yes,No
S1264,C1705,Michael Mason,52,Female,No,No
S1265,C2360,Jesse Cunningham,45,Female,No,Yes
S1266,C2325,Devin Montoya,52,Male,No,Yes
S1267,C1699,Jeremy Fox,47,Male,No,Yes
S1268,C1524,Jessica Farrell,31,Male,Yes,No
S1269,C1666,Mark Stanton MD,53,Male,No,Yes
S1270,C1314,Katherine Wagner,41,Female,Yes,Yes
S1271,C1793,Tommy Houston,60,Male,No,Yes
S1272,C1011,Heather Gardner,56,Female,No,No
S1273,C2883,Melody Martinez,19,Male,No,Yes
S1274,C1943,Billy Everett,61,Female,No,Yes
S1275,C1789,Shelly Cantrell,19,Male,Yes,No
S1276,C2555,David Rodriguez,60,Male,Yes,No
S1277,C1147,Melissa Romero,39,Male,No,Yes
S1278,C1230,Samantha Smith,31,Male,Yes,Yes
S1279,C2935,Deborah Blackwell,30,Female,Yes,Yes
S1280,C2346,Evelyn Wilson,68,Female,Yes,Yes
S1281,C1562,William Morgan,68,Male,Yes,No
S1282,C1487,Christina White,22,Female,Yes,No
S1283,C2359,John Clark,29,Male,Yes,No
S1284,C2598,Ryan Gillespie,65,Female,Yes,No
S1285,C2521,Sandra Kennedy,26,Female,Yes,No
S1286,C1152,Tammy Hughes,31,Female,No,No
S1287,C2534,Rachel Phillips,56,Female,No,Yes
S1288,C2512,Desiree Perry,18,Female,No,Yes
S1289,C1146,David Schmitt,56,Male,No,No
S1290,C2741,Wesley Thompson,45,Female,Yes,Yes
S1291,C2772,Stephen Moody,60,Male,No,No
S1292,C2820,Dr. Angela Cruz DVM,34,Female,No,Yes
S1293,C1673,Joan Roberts,27,Male,No,Yes
S1294,C1553,Steven Potter,40,Female,Yes,No
S1295,C2197,Cameron Cunningham,27,Female,No,No
S1296,C1732,Penny Malone,28,Male,Yes,Yes
S1297,C1969,Audrey Jacobs,23,Female,Yes,No
S1298,C2611,Christopher Taylor,46,Male,No,Yes
S1299,C2133,Carolyn Jordan,51,Female,Yes,No
S1300,C2436,Philip Flowers,26,Female,No,No
S1301,C2401,Cody Smith,57,Male,Yes,Yes
S1302,C1134,Randy Allen,63,Female,No,No
S1303,C1813,Pamela Munoz,57,Female,Yes,No
S1304,C1294,Briana Richards,28,Female,Yes,Yes
S1305,C2999,Sharon Jones,47,Male,No,Yes
S1306,C2101,Michelle Wilson,58,Female,No,Yes
S1307,C2188,Thomas Nelson,51,Female,Yes,No
S1308,C2718,John Harrell,42,Female,No,No
S1309,C2152,Jessica Preston,60,Female,No,No
S1310,C1217,Rebecca Brown,26,Female,No,No
S1311,C1361,Stephanie Lara,66,Male,Yes,Yes
S1312,C2291,Richard Williams,63,Female,Yes,Yes
S1313,C2197,Paige Howard,59,Female,Yes,Yes
S1314,C2140,Jacqueline Mcbride,44,Female,Yes,Yes
S1315,C2272,Andrea Torres,51,Female,No,Yes
S1316,C2626,John Long,19,Female,No,No
S1317,C1080,Raymond Lucas,63,Female,No,Yes
S1318,C2678,Melissa Nelson,52,Female,No,No
S1319,C2341,Sabrina Harris,61,Female,No,No
S1320,C2273,Jennifer Thompson,20,Male,Yes,Yes
S1321,C1385,Joshua Goodman,31,Female,No,Yes
S1322,C2112,Tracy Fischer,43,Male,Yes,Yes
S1323,C1046,David West,66,Female,Yes,Yes
S1324,C1631,Roger Richardson,43,Female,Yes,Yes
S1325,C2372,Casey Pearson,62,Female,Yes,No
S1326,C1298,Zachary Ellis,42,Female,No,No
S1327,C1663,Maurice Brewer,64,Male,Yes,No
S1328,C2833,James Burton Jr.,38,Male,No,No
S1329,C1683,Marie White,68,Female,No,Yes
S1330,C1907,Amber Martin,23,Female,No,Yes
S1331,C1051,Kathleen Kelley,62,Female,Yes,No
S1332,C1021,Jodi Hill,60,Male,No,Yes
S1333,C2749,Brian Woods,21,Male,No,No
S1334,C2789,Sara Ryan,40,Male,No,Yes
S1335,C2998,Patricia Leach,26,Male,Yes,No
S1336,C2794,Andrea Mitchell,22,Female,Yes,No
S1337,C2608,Kimberly Bailey,58,Male,Yes,No
S1338,C2117,Catherine Kane,39,Female,No,No
S1339,C1947,Andrea Hill,61,Male,Yes,No
S1340,C1533,Michael Pitts,61,Male,No,Yes
S1341,C2004,John Robinson,39,Female,No,Yes
S1342,C2093,Jo Turner,57,Male,Yes,No
S1343,C2890,Alexander Dean,59,Female,No,Yes
S1344,C1117,Cynthia Davis,65,Male,No,Yes
S1345,C2618,Phillip Gross,47,Female,No,No
S1346,C2591,Christopher Charles,37,Male,No,Yes
S1347,C2011,Alfred Smith,20,Female,No,No
S1348,C1756,Jonathan Duncan,30,Male,No,Yes
S1349,C2248,Heather Fleming,51,Male,Yes,No
S1350,C2737,Maria Rodriguez,37,Male,Yes,No
S1351,C2612,Terri Edwards,69,Female,No,Yes
S1352,C2185,Samantha Campbell,44,Female,Yes,No
S1353,C1705,Stephen Spencer,58,Female,No,No
S1354,C2473,Melanie Alvarez,67,Male,No,Yes
S1355,C1073,Linda Davis,62,Male,No,No
S1356,C2039,Nicholas Mccullough,32,Male,No,No
S1357,C2962,Douglas Rasmussen,33,Male,Yes,Yes
S1358,C2502,Michael Thompson,35,Female,Yes,Yes
S1359,C2999,Sherri Huff,54,Female,Yes,No
S1360,C1951,Katherine Wilson,20,Female,No,No
S1361,C2290,Eric Carr,37,Female,No,Yes
S1362,C2961,Paul Gould,44,Female,No,Yes
S1363,C1037,Tiffany Taylor DVM,44,Female,No,No
S1364,C1790,Veronica Snyder,61,Female,No,Yes
S1365,C1706,Taylor Gomez,37,Female,Yes,Yes
S1366,C1629,Michael Martin,23,Female,Yes,No
S1367,C1238,Melissa Andrews,28,Female,No,Yes
S1368,C2131,Danielle Green,56,Male,No,Yes
S1369,C1549,Mindy Martin,18,Female,Yes,No
S1370,C2761,Amanda Stephens,39,Male,Yes,Yes
S1371,C2113,Elizabeth Ewing,42,Male,No,No
S1372,C1503,Mackenzie Zuniga,26,Male,No,Yes
S1373,C2411,James Chapman,30,Female,Yes,No
S1374,C2543,Donald Williams,58,Male,No,No
S1375,C2729,Jeffrey Hunter,23,Male,No,No
S1376,C1565,Joe Dean,67,Female,Yes,No
S1377,C2560,Veronica Burke,20,Male,Yes,Yes
S1378,C1296,Devon Mejia,23,Male,No,No
S1379,C2426,Peggy Davis,38,Male,Yes,Yes
S1380,C1646,Amber Anderson,23,Male,Yes,Yes
S1381,C2443,Laura Lamb,49,Male,No,Yes
S1382,C2042,James Crane,63,Female,No,No
S1383,C1909,Elizabeth Lewis,24,Male,No,Yes
S1384,C1705,Calvin Barr,68,Female,Yes,Yes
S1385,C1761,Stephen Lyons,29,Male,Yes,No
S1386,C2063,Claudia Perez,20,Female,Yes,Yes
S1387,C1649,Taylor Austin,23,Male,Yes,Yes
S1388,C2808,Ms. Lori King,38,Female,No,No
S1389,C2019,Crystal Hall,39,Female,Yes,Yes
S1390,C1918,Judith Blackburn,23,Female,Yes,No
S1391,C1700,Glenn Roth,20,Female,No,Yes
S1392,C1730,Katrina Wells,47,Female,Yes,No
S1393,C2189,Micheal Lane,57,Male,Yes,Yes
S1394,C1504,Ashley Evans,23,Male,No,No
S1395,C1492,Becky Green,67,Female,Yes,Yes
S1396,C2010,Kayla Cook,68,Male,Yes,Yes
S1397,C2419,Angela Patel,59,Male,No,Yes
S1398,C1397,Samuel Becker,45,Male,Yes,Yes
S1399,C1337,Karen Davis,53,Male,Yes,Yes
S1400,C2963,Veronica Garcia,27,Male,Yes,No
S1401,C2597,Karen Johnson,58,Female,Yes,No
S1402,C2070,Anna Perez,43,Female,Yes,No
S1403,C2442,Todd Jones,64,Male,No,Yes
S1404,C1151,Paul Johnson,30,Female,Yes,No
S1405,C2605,Julie Smith,42,Male,No,Yes
S1406,C1788,Douglas Liu,57,Female,No,Yes
S1407,C2953,Philip Peters,44,Female,Yes,No
S1408,C2717,Sandra Ramos,65,Male,No,Yes
S1409,C2591,Elizabeth Villanueva,52,Female,No,No
S1410,C2164,Natalie Richardson,46,Female,No,No
S1411,C2035,Mrs. Kathleen Beasley,50,Male,Yes,No
S1412,C1470,Dr. Matthew Eaton,70,Male,No,No
S1413,C1882,Clifford Blair,45,Female,No,Yes
S1414,C1050,Tabitha Adams,33,Male,No,Yes
S1415,C2151,Joseph Brown,53,Female,No,Yes
S1416,C2253,Bradley Jackson,60,Female,Yes,Yes
S1417,C2428,Frederick Pearson,64,Male,Yes,Yes
S1418,C2104,Rachel Jenkins,33,Male,No,No
S1419,C2608,Linda Mcbride,70,Male,Yes,No
S1420,C2995,Ashley Davis,57,Female,No,No
S1421,C1301,Edward Allison,61,Female,Yes,No
S1422,C1422,Brian Brown,33,Male,Yes,No
S1423,C2206,William Daniel,41,Male,No,Yes
S1424,C2742,Catherine Pope,69,Male,Yes,No
S1425,C1551,David Flores,52,Male,Yes,No
S1426,C1775,Yvette Pierce,44,Female,No,No
S1427,C2451,Andres Woodard,67,Female,No,No
S1428,C2734,Mrs. Kelly Randolph,61,Female,No,Yes
S1429,C2502,Michael Hayes,18,Female,Yes,No
S1430,C2725,Jessica Lewis,70,Female,No,No
S1431,C2440,Jasmine Long,41,Male,Yes,Yes
S1432,C1808,Diamond Scott,55,Male,Yes,Yes
S1433,C2808,Jose Nelson,68,Male,No,No
S1434,C1952,Mrs. Debra Coleman,56,Female,Yes,No
S1435,C1125,Sarah Powers,51,Male,Yes,No
S1436,C2979,Jordan Simpson,39,Male,No,Yes
S1437,C2296,Lisa Cunningham,49,Female,Yes,No
S1438,C1838,Anita Buchanan,20,Female,Yes,No
S1439,C1144,Bailey Williams,47,Male,No,Yes
S1440,C2719,Elizabeth Marsh,27,Female,No,No
S1441,C2947,Eric Brown,50,Male,Yes,Yes
S1442,C2639,Laura Gray,32,Female,Yes,Yes
S1443,C1140,Carly Zimmerman,52,Male,Yes,No
S1444,C2358,Mrs. Angela Hawkins MD,22,Female,Yes,Yes
S1445,C1962,Tracy Woods,53,Male,Yes,No
S1446,C1631,Paul Mitchell,19,Male,No,Yes
S1447,C2556,Matthew Wagner,33,Female,Yes,Yes
S1448,C2722,Michael Villarreal,59,Female,No,No
S1449,C1095,Scott Coleman,20,Male,Yes,Yes
S1450,C1494,Daniel Hutchinson,49,Male,Yes,Yes
S1451,C1906,Melanie Jackson,18,Male,Yes,Yes
S1452,C1927,John Gonzales,33,Female,Yes,No
S1453,C2390,Louis Goodwin,52,Female,No,Yes
S1454,C1506,Christina Carney,22,Female,No,No
S1455,C1802,Brian Haynes,60,Male,No,No
S1456,C2769,Brett Castillo,56,Female,Yes,Yes
S1457,C2669,Patrick Potter,32,Male,No,Yes
S1458,C1182,Tonya Walker,43,Female,Yes,No
S1459,C1020,Billy Lewis,63,Female,No,No
S1460,C1101,Zachary Welch,35,Female,Yes,Yes
S1461,C2851,Raymond Evans,56,Female,No,Yes
S1462,C2954,Kelly Lopez,68,Male,No,No
S1463,C2082,Claudia Rivera MD,22,Female,No,No
S1464,C1879,Matthew Rodriguez,46,Female,No,No
S1465,C2445,Andrew Davis,44,Female,Yes,Yes
S1466,C2874,Jessica Welch,66,Female,Yes,No
S1467,C1375,Ann Martin,43,Female,Yes,No
S1468,C2391,Jamie Lester,65,Male,Yes,Yes
S1469,C1507,Dennis Soto,41,Male,Yes,Yes
S1470,C2732,Angela Maldonado,20,Male,Yes,No
S1471,C2126,Michele Jones,52,Female,No,Yes
S1472,C2420,Joshua Fowler,49,Male,No,Yes
S1473,C1735,Jennifer Burton,29,Female,No,Yes
S1474,C1001,Jimmy Smith,35,Male,Yes,No
S1475,C2242,Jesus Rios,48,Female,Yes,Yes
S1476,C1752,Samantha Turner,48,Female,No,No
S1477,C2872,Timothy Snyder,45,Female,No,No
S1478,C2236,John Harris,24,Male,Yes,No
S1479,C1797,Anthony Turner,51,Female,Yes,Yes
S1480,C1770,Cory Hayes,54,Male,No,No
S1481,C2679,Michael Swanson,33,Female,No,Yes
S1482,C2452,Raymond Lyons,20,Male,No,No
S1483,C2017,John Hardy,64,Female,No,Yes
S1484,C2846,Lindsey Rodgers,19,Female,Yes,Yes
S1485,C1485,Miss Alyssa Simmons,52,Female,Yes,Yes
S1486,C2005,Anne Bennett,68,Female,Yes,No
S1487,C2689,Haley Jackson,69,Male,Yes,Yes
S1488,C2785,Barry Richardson,25,Male,No,No
S1489,C1790,Danielle Reed,29,Female,No,Yes
S1490,C2090,Maxwell Fischer,67,Male,No,No
S1491,C2399,Jennifer Dillon,55,Male,Yes,No
S1492,C2030,Melissa Wilson,55,Female,No,Yes
S1493,C2759,Jodi Rogers,42,Female,Yes,No
S1494,C1766,Joel Andrews,31,Female,No,Yes
S1495,C1004,Katie Garcia,58,Female,Yes,Yes
S1496,C1149,Jesse Marshall,59,Female,Yes,No
S1497,C1887,Breanna Saunders,21,Female,Yes,No
S1498,C1429,Justin Rodriguez,52,Female,Yes,Yes
S1499,C2739,Tiffany Boyle,47,Male,No,Yes
S1500,C2031,Michael Wilson,29,Male,No,Yes
S1501,C1356,Raymond Gutierrez,64,Female,Yes,Yes
S1502,C2427,Christian Sheppard,63,Female,No,No
S1503,C2727,Daniel Greer,20,Male,Yes,No
S1504,C2766,Julie Ellison,29,Male,No,No
S1505,C1025,Tami Bray,43,Male,No,Yes
S1506,C2806,Gregory Powell,55,Female,Yes,Yes
S1507,C1206,Jessica Warner,25,Female,Yes,No
